jurisdiction,name,event_year,event_quarter,prev_wage,new_wage,increase_abs,increase_pct,fed_floor
MO,Missouri,2025,2025Q1,12.3,13.75,1.45,11.79,7.25
MT,Montana,2025,2025Q1,10.3,10.55,0.25,2.43,7.25
NE,Nebraska,2025,2025Q1,12.0,13.5,1.5,12.5,7.25
NJ,New Jersey,2025,2025Q1,15.13,15.49,0.36,2.38,7.25
NY,New York,2025,2025Q1,16.0,16.5,0.5,3.12,7.25
OH,Ohio,2025,2025Q1,10.45,10.7,0.25,2.39,7.25
RI,Rhode Island,2025,2025Q1,14.0,15.0,1.0,7.14,7.25
SD,South Dakota,2025,2025Q1,11.2,11.5,0.3,2.68,7.25
VA,Virginia,2025,2025Q1,12.0,12.41,0.41,3.42,7.25
VT,Vermont,2025,2025Q1,13.67,14.01,0.34,2.49,7.25
WA,Washington,2025,2025Q1,16.28,16.66,0.38,2.33,7.25
