cohort,cohort_q,base_period,base_period_q,time,time_q,att,std_error,ci_low,ci_high,signif
9,2012Q1,8,2011Q4,13,2013Q1,0.010074885256248025,0.0031306016917511184,0.003939018690475669,0.01621075182202038,*
9,2012Q1,8,2011Q4,14,2013Q2,0.01579311613528922,0.003373253129090942,0.009181661491533932,0.022404570779044508,*
9,2012Q1,8,2011Q4,15,2013Q3,0.021298393862092514,0.003566838920652003,0.014307518038958869,0.02828926968522616,*
9,2012Q1,8,2011Q4,16,2013Q4,0.022677983860886087,0.004126707414365412,0.01458978595399547,0.030766181767776703,*
9,2012Q1,8,2011Q4,17,2014Q1,0.02975317351904059,0.004868090402147387,0.020211891657346603,0.039294455380734575,*
9,2012Q1,8,2011Q4,18,2014Q2,0.0360771753823784,0.0055846111799224135,0.025131538602070735,0.04702281216268607,*
9,2012Q1,8,2011Q4,19,2014Q3,0.04055271670459731,0.006026797236470316,0.028740411178989962,0.05236502223020465,*
9,2012Q1,8,2011Q4,20,2014Q4,0.04265958157971288,0.006333178685574684,0.030246779448329777,0.055072383711095976,*
9,2012Q1,8,2011Q4,21,2015Q1,0.046287281154291836,0.00657989872910854,0.03339091662331822,0.05918364568526545,*
9,2012Q1,8,2011Q4,22,2015Q2,0.04789474964561365,0.006839129411926081,0.034490302312629936,0.06129919697859737,*
9,2012Q1,8,2011Q4,23,2015Q3,0.05246279273106178,0.007468917690385844,0.037823983054411446,0.06710160240771212,*
9,2012Q1,8,2011Q4,24,2015Q4,0.06002299631805504,0.008023810839554854,0.044296616053765434,0.07574937658234465,*
9,2012Q1,8,2011Q4,25,2016Q1,0.0609793893106473,0.008890762962563886,0.04355381410893945,0.07840496451235515,*
9,2012Q1,8,2011Q4,26,2016Q2,0.05960982264447932,0.009497348974169012,0.040995360706499624,0.078224284582459,*
9,2012Q1,8,2011Q4,27,2016Q3,0.06247934323136193,0.009898120342622083,0.043079383845179384,0.08187930261754447,*
